route_id,route_name,origin_terminal_id,destination_terminal_id,distance_miles,estimated_hours,estimated_hours_with_stops,waypoints,toll_cost_estimate,fuel_stops_recommended
1ad4ab07-b944-49f1-9ea6-8c8b74c2b0af,NAS→ATL,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,a5c4021b-5488-4368-9e13-974cfc4357b2,286.2,5.2,6.1,[],65.13,1
7999dce5-261c-4c48-9093-42d9b971690b,NAS→MEM,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,241.5,4.4,5.1,[],116.21,1
038335c9-5c44-4ac9-8055-a3ca7f1ef96a,NEW→CHI,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,932b0a9f-c131-45a8-834f-082694ccde46,876.4,15.9,18.5,[],82.82,1
b1b98579-601d-48fe-8831-dfd154a1e6d7,NEW→JAC,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,a7a73568-5e65-43e1-bf71-2c7cd8483d63,1111.9,20.2,23.5,[],24.39,2
ca08107d-c15d-490d-895f-81a4fec606d9,PHO→LOS,743c0ff0-e847-402c-8244-4f1429a62e75,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,459.0,8.3,9.7,[],71.19,1
200244b4-fcb1-4758-a7cb-d844e2fc08d2,PHO→DAL,743c0ff0-e847-402c-8244-4f1429a62e75,8f995c84-607c-4ae0-b0d4-c21ca07f273d,1157.4,21.0,24.5,[],113.35,2
933806e8-3beb-4517-aeae-d515f0c98ff9,SAL→DEN,04487ae7-0061-4d10-bae0-a8cb11cde667,bb0b1a88-e634-4f33-8169-e0e767fe3594,495.5,9.0,10.5,[],33.38,1
43dac69a-2b56-4950-b92c-547be23a37b6,SAL→SEA,04487ae7-0061-4d10-bae0-a8cb11cde667,bb2ededc-f89e-45a9-b92d-fa760543d230,932.4,17.0,19.8,[],33.46,2
eaf0af8f-ba8a-40ce-a479-3c56afc2da5a,SEA→LOS,bb2ededc-f89e-45a9-b92d-fa760543d230,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,1294.5,23.5,27.4,[],119.7,2
ef7e12f6-e221-4b6c-a536-c3b87a0eec68,SEA→SAL,bb2ededc-f89e-45a9-b92d-fa760543d230,04487ae7-0061-4d10-bae0-a8cb11cde667,881.5,16.0,18.6,[],67.02,1
