trailer_id,trailer_number,type,length_ft,max_weight_lbs,status,home_terminal_id,year,last_inspection_date
7354172d-8d0a-46d5-84c3-a5d44fdd43d4,TRL-2032,tanker,42,50000,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,2018,2026-01-05
22cfd206-3296-4107-b4dc-ff4c9604f8f4,TRL-2033,flatbed,53,48000,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,2025,2025-12-02
dbb3f8a3-1f97-418e-9e42-1b50b8c6139c,TRL-2034,tanker,42,50000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2023,2025-09-24
2d404225-f834-4960-814e-83c846f216aa,TRL-2035,dry_van,53,45000,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2022,2025-12-29
bf73c581-44ee-4ed5-95f8-9b464cee7ce0,TRL-2036,reefer,53,43000,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2023,2025-12-04
b6044ec2-3af0-4c1b-9d25-1acc2b32b57e,TRL-2037,dry_van,53,45000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2023,2025-08-20
428948ef-a256-48ab-9f24-306b0ba59aac,TRL-2038,flatbed,53,48000,available,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,2022,2026-01-31
ac48b1a9-aed4-4b8a-a9a5-5f8d6ba64e2d,TRL-2039,dry_van,53,45000,available,e1bed69c-5f89-4d1a-ab5f-4f60665b74c2,2024,2025-06-18
ba95e4cb-0c30-4c90-bba4-95c264ac62ac,TRL-2040,dry_van,53,45000,available,04487ae7-0061-4d10-bae0-a8cb11cde667,2018,2025-06-24
8bfefbd6-adf1-4143-bea2-a0beafffcd60,TRL-2041,reefer,53,43000,available,932b0a9f-c131-45a8-834f-082694ccde46,2022,2025-12-25
8eb2ff07-cfd9-429b-88be-ee597f1564f1,TRL-2042,dry_van,53,45000,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2017,2025-10-29
34275c47-43a1-4f04-98e6-016440fefb59,TRL-2043,reefer,48,40000,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2022,2025-11-19
7c3213d4-ddf5-4aa4-acc4-cfc912081e07,TRL-2044,dry_van,53,45000,available,a7a73568-5e65-43e1-bf71-2c7cd8483d63,2022,2026-01-10
a59c9ba1-fa0e-4ae9-a89c-37ae154facec,TRL-2045,flatbed,53,48000,available,743c0ff0-e847-402c-8244-4f1429a62e75,2023,2026-01-09
22103e83-9bca-447d-8ee6-8276bf0f868c,TRL-2046,flatbed,53,48000,available,a5c4021b-5488-4368-9e13-974cfc4357b2,2021,2025-11-01
2cc77dd6-5fa8-46ba-a0be-f53451632f93,TRL-2047,dry_van,48,42000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2018,2025-10-26
a08f4ae9-9e6b-4bd2-85aa-4349f95e8a66,TRL-2048,reefer,48,40000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2019,2025-11-16
a2cbd19a-d56a-43b9-b182-477a99f102a3,TRL-2049,reefer,53,43000,available,bb0b1a88-e634-4f33-8169-e0e767fe3594,2018,2025-08-29
213db242-52cf-43c6-8b21-428cd745f673,TRL-2050,tanker,42,50000,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2022,2025-06-30
7b8d99ab-f6cd-40cf-a459-ec9b5d6f973b,TRL-2051,tanker,42,50000,available,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,2020,2025-12-24
31b9e0a8-779e-4ce5-9fb7-be7631d615aa,TRL-2052,reefer,53,43000,available,04487ae7-0061-4d10-bae0-a8cb11cde667,2025,2025-12-14
4a98800c-e4fe-4655-aa10-882548529999,TRL-2053,tanker,42,50000,available,8cffe9c5-f13e-4d3e-9794-e4b2f22e808f,2025,2025-06-07
b79fe92d-08fc-468d-bf30-f3023e87e76f,TRL-2054,reefer,48,40000,available,bb2ededc-f89e-45a9-b92d-fa760543d230,2021,2025-06-08
5026bccd-a41c-46e6-8345-c1a0b931a0df,TRL-2055,dry_van,53,45000,available,5d9b2d6b-91f3-4b4a-945d-8da3910babf3,2021,2026-01-22
4bb3cfb9-d0bd-4fdb-a510-051459c5f6e4,TRL-2056,dry_van,48,42000,available,a7a0e58a-7589-417e-ad15-3e0f6ee4211a,2017,2025-07-17
9ea90c64-de64-45e2-a3b8-533d90aaa92f,TRL-2057,tanker,42,50000,available,8f995c84-607c-4ae0-b0d4-c21ca07f273d,2023,2025-06-18
1019b2c1-a4f6-4585-98d8-265b6e620828,TRL-2058,dry_van,53,45000,available,5d09a17e-b9a6-49b4-b030-c77c1619b8f6,2017,2025-06-24
3ab6e005-7892-41f0-a940-76e4185ffb32,TRL-2059,flatbed,53,48000,available,b4d6a49a-44d6-4dce-82e0-967b3c2eac4a,2020,2025-09-05
241f24c1-3157-4ea4-8694-5b88418d6e69,TRL-2060,reefer,53,43000,available,24dd1bd1-f1fc-4307-a497-01a617600cb1,2022,2025-07-11
